occupation_code	occupation_text	display_level	selectable	sort_sequence
493091	Bicycle repairers	3	T	807
493092	Recreational vehicle service technicians	3	T	808
493093	Tire repairers and changers	3	T	809
499011	Mechanical door repairers	3	T	812
499012	Control and valve installers and repairers, except mechanical door	3	T	813
499021	Heating, air conditioning, and refrigeration mechanics and installers	3	T	814
499031	Home appliance repairers	3	T	815
499041	Industrial machinery mechanics	3	T	817
499043	Maintenance workers, machinery	3	T	818
499044	Millwrights	3	T	819
499051	Electrical power-line installers and repairers	3	T	822
499052	Telecommunications line installers and repairers	3	T	823
499062	Medical equipment repairers	3	T	826
499063	Musical instrument repairers and tuners	3	T	827
499069	Precision instrument and equipment repairers, all other	3	T	829
499071	Maintenance and repair workers, general	3	T	830
499081	Wind turbine service technicians	3	T	831
499091	Coin, vending, and amusement machine servicers and repairers	3	T	833
499096	Riggers	3	T	837
499097	Signal and track switch repairers	3	T	838
499098	Helpers--installation, maintenance, and repair workers	3	T	839
499099	Installation, maintenance, and repair workers, all other	3	T	840
510000	Production occupations	0	T	841
511011	First-line supervisors of production and operating workers	3	T	842
512011	Aircraft structure, surfaces, rigging, and systems assemblers	3	T	844
512021	Coil winders, tapers, and finishers	3	T	846
512028	Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers	3	T	847
512031	Engine and other machine assemblers	3	T	848
512041	Structural metal fabricators and fitters	3	T	849
512051	Fiberglass laminators and fabricators	3	T	850
512090	Miscellaneous assemblers and fabricators	2	T	852
513011	Bakers	3	T	854
513021	Butchers and meat cutters	3	T	856
513022	Meat, poultry, and fish cutters and trimmers	3	T	857
513023	Slaughterers and meat packers	3	T	858
513091	Food and tobacco roasting, baking, and drying machine operators and tenders	3	T	860
513092	Food batchmakers	3	T	861
513093	Food cooking machine operators and tenders	3	T	862
513099	Food processing workers, all other	3	T	863
514021	Extruding and drawing machine setters, operators, and tenders, metal and plastic	3	T	866
514022	Forging machine setters, operators, and tenders, metal and plastic	3	T	867
514023	Rolling machine setters, operators, and tenders, metal and plastic	3	T	868
514031	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic	3	T	870
514032	Drilling and boring machine tool setters, operators, and tenders, metal and plastic	3	T	871
514033	Grinding/lapping/polishing/buffing machine tool setters, operators, and tenders, metal and plastic	3	T	872
514034	Lathe and turning machine tool setters, operators, and tenders, metal and plastic	3	T	873
514035	Milling and planing machine setters, operators, and tenders, metal and plastic	3	T	874
514041	Machinists	3	T	875
514051	Metal-refining furnace operators and tenders	3	T	877
514052	Pourers and casters, metal	3	T	878
514061	Model makers, metal and plastic	3	T	880
514071	Foundry mold and coremakers	3	T	883
514072	Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic	3	T	884
514081	Multiple machine tool setters, operators, and tenders, metal and plastic	3	T	885
514111	Tool and die makers	3	T	886
514121	Welders, cutters, solderers, and brazers	3	T	888
514122	Welding, soldering, and brazing machine setters, operators, and tenders	3	T	889
